,ML
2021-07-17 23:00:00,0.8646417933178422
2021-07-18 00:00:00,0.24561097649543787
2021-07-18 01:00:00,0.30868602097305375
2021-07-18 02:00:00,0.6227499925471832
2021-07-18 03:00:00,0.5990283111510132
2021-07-18 04:00:00,0.6504930484823791
2021-07-18 05:00:00,0.6440444187116238
2021-07-18 06:00:00,0.640628786789066
2021-07-18 07:00:00,0.6364175955832553
2021-07-18 08:00:00,0.6314975001286971
2021-07-18 09:00:00,0.6284888319564689
2021-07-18 10:00:00,0.6445614539590787
2021-07-18 11:00:00,0.6660400731717203
2021-07-18 12:00:00,0.7166997027375663
2021-07-18 13:00:00,0.7156309013866214
2021-07-18 14:00:00,0.7171124531747696
2021-07-18 15:00:00,0.722273590098977
2021-07-18 16:00:00,0.7251121224213662
2021-07-18 17:00:00,0.7293268935385826
2021-07-18 18:00:00,0.7283190776321883
2021-07-18 19:00:00,0.7221948001711506
2021-07-18 20:00:00,0.7159323128011615
2021-07-18 21:00:00,0.7072874233498146
2021-07-18 22:00:00,0.701411395043337
2021-07-18 23:00:00,0.6954454897476611
2021-07-19 00:00:00,0.7285579239540653
2021-07-19 01:00:00,0.7204454353008396
2021-07-19 02:00:00,0.7209677685469007
2021-07-19 03:00:00,0.718357366876324
2021-07-19 04:00:00,0.7296661105711287
2021-07-19 05:00:00,0.7376065808003898
2021-07-19 06:00:00,0.7475029486358832
2021-07-19 07:00:00,0.7500418453097598
2021-07-19 08:00:00,0.7547726552603151
2021-07-19 09:00:00,0.756383822391505
2021-07-19 10:00:00,0.7546680836397051
2021-07-19 11:00:00,0.7487551335119462
2021-07-19 12:00:00,0.7739597197524838
2021-07-19 13:00:00,0.7631838160174281
2021-07-19 14:00:00,0.7498547614025407
2021-07-19 15:00:00,0.7337527270474231
2021-07-19 16:00:00,0.7190745364684175
2021-07-19 17:00:00,0.7018029790884072
2021-07-19 18:00:00,0.6942667103679486
2021-07-19 19:00:00,0.6742915970531713
2021-07-19 20:00:00,0.6572892445689058
2021-07-19 21:00:00,0.6237329597644635
2021-07-19 22:00:00,0.6062395557215602
2021-07-19 23:00:00,0.5938939174364123
2021-07-20 00:00:00,0.6221383423149318
2021-07-20 01:00:00,0.6252072205907796
2021-07-20 02:00:00,0.6291392848576413
2021-07-20 03:00:00,0.6284218151948823
2021-07-20 04:00:00,0.6253222392449655
2021-07-20 05:00:00,0.6200047250742072
2021-07-20 06:00:00,0.6032027387701729
2021-07-20 07:00:00,0.597956417505287
2021-07-20 08:00:00,0.5938449974121358
2021-07-20 09:00:00,0.5918511444174431
2021-07-20 10:00:00,0.5840417529295979
2021-07-20 11:00:00,0.5629940018769591
2021-07-20 12:00:00,0.5681902482105518
2021-07-20 13:00:00,0.5557495165399472
2021-07-20 14:00:00,0.5470397426382252
2021-07-20 15:00:00,0.5410820718370998
2021-07-20 16:00:00,0.5322027070958482
2021-07-20 17:00:00,0.5298055127563668
2021-07-20 18:00:00,0.5328057233608591
2021-07-20 19:00:00,0.5416371382628044
2021-07-20 20:00:00,0.5666325373451481
2021-07-20 21:00:00,0.5950401310812896
2021-07-20 22:00:00,0.6218942227384957
2021-07-20 23:00:00,0.6197994295784065
2021-07-21 00:00:00,0.622603302861223
2021-07-21 01:00:00,0.6175794310462958
2021-07-21 02:00:00,0.6326748475372451
2021-07-21 03:00:00,0.6160028495008668
2021-07-21 04:00:00,0.6277814421410169
2021-07-21 05:00:00,0.6293761310661656
2021-07-21 06:00:00,0.636217051619778
2021-07-21 07:00:00,0.6708555723392164
2021-07-21 08:00:00,0.49126521386664224
2021-07-21 09:00:00,0.49491770312536376
2021-07-21 10:00:00,0.488751992755004
2021-07-21 11:00:00,0.4556646784087355
2021-07-21 12:00:00,0.6183518385682152
2021-07-21 13:00:00,0.6382168315377632
2021-07-21 14:00:00,0.6370366220697582
2021-07-21 15:00:00,0.6494790798303184
2021-07-21 16:00:00,0.6362272731608515
2021-07-21 17:00:00,0.6359833071045077
2021-07-21 18:00:00,0.6527922979890425
2021-07-21 19:00:00,0.6541312108706109
2021-07-21 20:00:00,0.8537549278977882
2021-07-21 21:00:00,0.8691725153116096
2021-07-21 22:00:00,0.90861621417104
2021-07-21 23:00:00,0.9683494541990479
2021-07-22 00:00:00,2.246966811885538
2021-07-22 01:00:00,2.2333173506703137
2021-07-22 02:00:00,2.19152976029173
2021-07-22 03:00:00,2.138528721057147
2021-07-22 04:00:00,2.0864832266481375
2021-07-22 05:00:00,2.043226702353696
2021-07-22 06:00:00,1.9864019001671884
2021-07-22 07:00:00,1.9142666994127795
2021-07-22 08:00:00,1.8451616597222615
2021-07-22 09:00:00,1.7696170297174614
2021-07-22 10:00:00,1.691049310259722
2021-07-22 11:00:00,1.6043665824817952
2021-07-22 12:00:00,1.3915022562719905
2021-07-22 13:00:00,1.3444394126029195
2021-07-22 14:00:00,1.2994357012428073
2021-07-22 15:00:00,1.273585858785847
2021-07-22 16:00:00,1.254235195169136
